Humidity,Temperature,UnixTime,Hour,Minute,Humidity_Future,Temperature_Future,UnixTime_Future,Hour_Future,Minute_Future
65.0,34.8,1592668500.0,15.0,55.0,89.0,28.2,1592690104.0,21.0,55.0
65.0,34.8,1592668510.0,15.0,55.0,89.0,28.2,1592690114.0,21.0,55.0
65.0,34.8,1592668520.0,15.0,55.0,89.0,28.2,1592690125.0,21.0,55.0
65.0,34.8,1592668531.0,15.0,55.0,89.0,28.2,1592690135.0,21.0,55.0
65.0,34.8,1592668541.0,15.0,55.0,89.0,28.5,1592690145.0,21.0,55.0
65.0,34.8,1592668551.0,15.0,55.0,89.0,28.5,1592690156.0,21.0,55.0
65.0,34.8,1592668562.0,15.0,56.0,89.0,28.5,1592690166.0,21.0,56.0
65.0,34.8,1592668572.0,15.0,56.0,89.0,28.5,1592690176.0,21.0,56.0
65.0,34.8,1592668582.0,15.0,56.0,89.0,28.5,1592690187.0,21.0,56.0
64.0,34.8,1592668593.0,15.0,56.0,89.0,28.5,1592690198.0,21.0,56.0
64.0,34.8,1592668603.0,15.0,56.0,89.0,28.5,1592690208.0,21.0,56.0
64.0,34.8,1592668613.0,15.0,56.0,89.0,28.5,1592690218.0,21.0,56.0
64.0,34.8,1592668624.0,15.0,57.0,89.0,28.5,1592690229.0,21.0,57.0
64.0,34.8,1592668634.0,15.0,57.0,89.0,28.5,1592690239.0,21.0,57.0
64.0,34.8,1592668644.0,15.0,57.0,89.0,28.5,1592690249.0,21.0,57.0
64.0,34.8,1592668655.0,15.0,57.0,89.0,28.5,1592690260.0,21.0,57.0
65.0,34.8,1592668665.0,15.0,57.0,89.0,28.5,1592690270.0,21.0,57.0
64.0,34.8,1592668675.0,15.0,57.0,89.0,28.5,1592690270.0,21.0,57.0
64.0,34.8,1592668686.0,15.0,58.0,89.0,28.5,1592690291.0,21.0,58.0
64.0,34.8,1592668696.0,15.0,58.0,89.0,28.5,1592690301.0,21.0,58.0
64.0,35.0,1592668707.0,15.0,58.0,89.0,28.5,1592690312.0,21.0,58.0
63.0,34.8,1592668717.0,15.0,58.0,89.0,28.5,1592690322.0,21.0,58.0
63.0,34.8,1592668748.0,15.0,59.0,89.0,28.3,1592690353.0,21.0,59.0
64.0,34.9,1592668758.0,15.0,59.0,89.0,28.3,1592690353.0,21.0,59.0
64.0,34.8,1592668769.0,15.0,59.0,89.0,28.2,1592690374.0,21.0,59.0
64.0,34.8,1592668779.0,15.0,59.0,89.0,28.2,1592690384.0,21.0,59.0
64.0,34.8,1592668789.0,15.0,59.0,89.0,28.2,1592690384.0,21.0,59.0
64.0,34.8,1592668801.0,16.0,0.0,89.0,28.2,1592690405.0,22.0,0.0
65.0,34.8,1592668811.0,16.0,0.0,89.0,28.2,1592690415.0,22.0,0.0
65.0,34.8,1592668822.0,16.0,0.0,89.0,28.2,1592690426.0,22.0,0.0
65.0,34.8,1592668832.0,16.0,0.0,89.0,28.0,1592690436.0,22.0,0.0
65.0,34.8,1592668842.0,16.0,0.0,89.0,28.1,1592690446.0,22.0,0.0
65.0,34.8,1592668853.0,16.0,0.0,89.0,27.9,1592690457.0,22.0,0.0
65.0,34.8,1592668863.0,16.0,1.0,90.0,27.8,1592690467.0,22.0,1.0
65.0,34.8,1592668874.0,16.0,1.0,90.0,27.8,1592690477.0,22.0,1.0
65.0,34.8,1592668885.0,16.0,1.0,90.0,27.8,1592690488.0,22.0,1.0
65.0,34.8,1592668895.0,16.0,1.0,90.0,27.8,1592690498.0,22.0,1.0
65.0,34.8,1592668905.0,16.0,1.0,91.0,27.8,1592690508.0,22.0,1.0
65.0,34.8,1592668916.0,16.0,1.0,91.0,27.8,1592690519.0,22.0,1.0
65.0,34.9,1592668926.0,16.0,2.0,91.0,27.8,1592690529.0,22.0,2.0
65.0,35.0,1592668936.0,16.0,2.0,91.0,27.8,1592690539.0,22.0,2.0
64.0,34.8,1592668947.0,16.0,2.0,91.0,27.8,1592690550.0,22.0,2.0
64.0,34.6,1592668978.0,16.0,2.0,91.0,27.8,1592690581.0,22.0,3.0
65.0,34.6,1592668988.0,16.0,3.0,91.0,27.8,1592690591.0,22.0,3.0
65.0,34.6,1592668999.0,16.0,3.0,91.0,28.0,1592690602.0,22.0,3.0
65.0,34.6,1592669009.0,16.0,3.0,91.0,28.1,1592690612.0,22.0,3.0
65.0,34.6,1592669019.0,16.0,3.0,91.0,28.0,1592690622.0,22.0,3.0
65.0,34.6,1592669030.0,16.0,3.0,91.0,28.1,1592690633.0,22.0,3.0
65.0,34.6,1592669040.0,16.0,4.0,91.0,27.9,1592690643.0,22.0,4.0
65.0,34.6,1592669050.0,16.0,4.0,91.0,27.8,1592690653.0,22.0,4.0
65.0,34.6,1592669061.0,16.0,4.0,91.0,28.1,1592690664.0,22.0,4.0
65.0,34.6,1592669071.0,16.0,4.0,91.0,28.1,1592690674.0,22.0,4.0
65.0,34.6,1592669081.0,16.0,4.0,91.0,28.1,1592690684.0,22.0,4.0
65.0,34.6,1592669092.0,16.0,4.0,92.0,28.0,1592690695.0,22.0,4.0
65.0,34.6,1592669102.0,16.0,5.0,92.0,27.9,1592690705.0,22.0,5.0
65.0,34.6,1592669113.0,16.0,5.0,92.0,27.8,1592690715.0,22.0,5.0
65.0,34.6,1592669123.0,16.0,5.0,92.0,27.8,1592690726.0,22.0,5.0
65.0,34.6,1592669133.0,16.0,5.0,92.0,27.8,1592690737.0,22.0,5.0
65.0,34.6,1592669144.0,16.0,5.0,92.0,27.8,1592690747.0,22.0,5.0
65.0,34.6,1592669154.0,16.0,5.0,92.0,27.9,1592690757.0,22.0,5.0
65.0,34.6,1592669164.0,16.0,6.0,91.0,28.2,1592690768.0,22.0,6.0
65.0,34.6,1592669175.0,16.0,6.0,91.0,28.2,1592690778.0,22.0,6.0
65.0,34.6,1592669185.0,16.0,6.0,91.0,28.2,1592690788.0,22.0,6.0
65.0,34.6,1592669195.0,16.0,6.0,91.0,28.2,1592690799.0,22.0,6.0
65.0,34.6,1592669206.0,16.0,6.0,91.0,28.2,1592690809.0,22.0,6.0
65.0,34.6,1592669216.0,16.0,6.0,91.0,28.2,1592690819.0,22.0,6.0
65.0,34.6,1592669226.0,16.0,7.0,91.0,28.2,1592690830.0,22.0,7.0
65.0,34.6,1592669237.0,16.0,7.0,91.0,28.2,1592690840.0,22.0,7.0
65.0,34.6,1592669247.0,16.0,7.0,91.0,28.2,1592690850.0,22.0,7.0
65.0,34.6,1592669258.0,16.0,7.0,91.0,28.2,1592690861.0,22.0,7.0
65.0,34.6,1592669268.0,16.0,7.0,91.0,28.2,1592690871.0,22.0,7.0
65.0,34.6,1592669278.0,16.0,7.0,91.0,28.2,1592690881.0,22.0,8.0
65.0,34.6,1592669289.0,16.0,8.0,91.0,27.9,1592690892.0,22.0,8.0
65.0,34.6,1592669299.0,16.0,8.0,91.0,27.8,1592690902.0,22.0,8.0
65.0,34.6,1592669310.0,16.0,8.0,91.0,27.8,1592690914.0,22.0,8.0
