Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
65.0,34.8,16.0,0.0,89.0,28.0,22.0,0.0
65.0,34.8,16.0,0.0,89.0,28.1,22.0,0.0
65.0,34.8,16.0,0.0,89.0,27.9,22.0,0.0
65.0,34.8,16.0,1.0,90.0,27.8,22.0,1.0
65.0,34.8,16.0,1.0,90.0,27.8,22.0,1.0
65.0,34.8,16.0,1.0,90.0,27.8,22.0,1.0
65.0,34.8,16.0,1.0,90.0,27.8,22.0,1.0
65.0,34.8,16.0,1.0,91.0,27.8,22.0,1.0
65.0,34.8,16.0,1.0,91.0,27.8,22.0,1.0
65.0,34.9,16.0,2.0,91.0,27.8,22.0,2.0
65.0,35.0,16.0,2.0,91.0,27.8,22.0,2.0
64.0,34.8,16.0,2.0,91.0,27.8,22.0,2.0
64.0,34.6,16.0,2.0,91.0,27.8,22.0,3.0
65.0,34.6,16.0,3.0,91.0,27.8,22.0,3.0
65.0,34.6,16.0,3.0,91.0,28.0,22.0,3.0
65.0,34.6,16.0,3.0,91.0,28.1,22.0,3.0
65.0,34.6,16.0,3.0,91.0,28.0,22.0,3.0
65.0,34.6,16.0,3.0,91.0,28.1,22.0,3.0
65.0,34.6,16.0,4.0,91.0,27.9,22.0,4.0
65.0,34.6,16.0,4.0,91.0,27.8,22.0,4.0
65.0,34.6,16.0,4.0,91.0,28.1,22.0,4.0
65.0,34.6,16.0,4.0,91.0,28.1,22.0,4.0
65.0,34.6,16.0,4.0,91.0,28.1,22.0,4.0
65.0,34.6,16.0,4.0,92.0,28.0,22.0,4.0
65.0,34.6,16.0,5.0,92.0,27.9,22.0,5.0
65.0,34.6,16.0,5.0,92.0,27.8,22.0,5.0
65.0,34.6,16.0,5.0,92.0,27.8,22.0,5.0
65.0,34.6,16.0,5.0,92.0,27.8,22.0,5.0
65.0,34.6,16.0,5.0,92.0,27.8,22.0,5.0
65.0,34.6,16.0,5.0,92.0,27.9,22.0,5.0
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
65.0,34.6,16.0,6.0,91.0,28.2,22.0,6.0
