,Humidity,Temperature,UnixTime
-MAFwwcTQEXcn-jo9Smc,63.00,35.10,1592668738
-MAFwz94QmLHbgWrabyb,63.00,34.80,1592668748
-MAFx0flB4k_teFtoBHs,64.00,34.90,1592668758
-MAFx3CeTaPUnVqoe-UQ,64.00,34.80,1592668769
-MAFx5iwgEMBKhjiS7BR,64.00,34.80,1592668779
-MAFx8aite9k3DTbrksf,64.00,34.80,1592668789
-MAFxB7bqkKhglEJ4IPa,64.00,34.80,1592668801
-MAFxDe6LMX3DDRNO4eH,65.00,34.80,1592668811
-MAFxGAm-ehJP7TpjK2-,65.00,34.80,1592668822
-MAFxIhMctMNCll3v3Pc,65.00,34.80,1592668832
-MAFxLE-M2kfOtQBI3Cz,65.00,34.80,1592668842
-MAFxNmFKvAvN73nxWlh,65.00,34.80,1592668853
-MAFxQINIvLsh6EvHIkS,65.00,34.80,1592668863
-MAFxSuykH4NWo-Tlg9F,65.00,34.80,1592668874
-MAFxVVYJQfjQbbHJGj8,65.00,34.80,1592668885
-MAFxY18zmYompREU3Q0,65.00,34.80,1592668895
-MAFx_Yj0k46KgAoA8wD,65.00,34.80,1592668905
-MAFxc4Gc0Hbeb_ELszw,65.00,34.80,1592668916
-MAFxeaz96f232c1Lpd0,65.00,34.90,1592668926
-MAFxh7c8hHiGEBXNet1,65.00,35.00,1592668936
-MAFxjflmo6sVdzJ77z0,64.00,34.80,1592668947
-MAFxmCI8NvtAq_IpOHA,65.00,35.10,1592668957
-MAFxoizm9eFZ4JLYkL0,64.00,35.10,1592668967
-MAFxrFk2SphgPPm6ylI,64.00,34.60,1592668978
-MAFxtmeoJG2SgXjNnAW,65.00,34.60,1592668988
-MAFxwIlT_xRGVhWRfVJ,65.00,34.60,1592668999
-MAFxypINmlTV3RwroeE,65.00,34.60,1592669009
-MAFy0Lx0v2HzgaWeiKF,65.00,34.60,1592669019
-MAFy2u2VWw9CraV5g-_,65.00,34.60,1592669030
-MAFy5R-CRxQy6GG9pox,65.00,34.60,1592669040
-MAFy7xJVIJBtShvLUNQ,65.00,34.60,1592669050
-MAFyAU-JtkKg2l9OcQN,65.00,34.60,1592669061
-MAFyD-ZAugUG_bUCBwi,65.00,34.60,1592669071
-MAFyFXBlXopEp1AZrkb,65.00,34.60,1592669081
-MAFyI2lkMhZS5ukKmub,65.00,34.60,1592669092
-MAFyK_UkaASIrFtxBPN,65.00,34.60,1592669102
-MAFyN7uGDKYGLj_xa3R,65.00,34.60,1592669113
-MAFyPeARKTbIFoCJ4t-,65.00,34.60,1592669123
-MAFySAoF8AcrBkc3yv8,65.00,34.60,1592669133
-MAFyUixMv9b1Chw2lYN,65.00,34.60,1592669144
-MAFyXFldSnXVIfRVjHc,65.00,34.60,1592669154
-MAFyZmElAD5k4LARbIQ,65.00,34.60,1592669164
-MAFybImJJDYAYJbprOh,65.00,34.60,1592669175
-MAFydpOrL7xnIF413kM,65.00,34.60,1592669185
-MAFygM-SG36x3JY4QFD,65.00,34.60,1592669195
-MAFyisZbez2tys8zL4q,65.00,34.60,1592669206
-MAFylP9lClVfe_NzvAe,65.00,34.60,1592669216
-MAFynvjwieAPnqg5BrJ,65.00,34.60,1592669226
-MAFyqSjkP_GlzxqUhVh,65.00,34.60,1592669237
-MAFysyvVTsx3OLXgHzg,65.00,34.60,1592669247
-MAFyvVXpGfphSqTWV3F,65.00,34.60,1592669258
-MAFyy2jKt-C8kLCtruy,65.00,34.60,1592669268
-MAFz-_JK_uqJo2Kx7vN,65.00,34.60,1592669278
-MAFz25yT5RBd9Wl8m89,65.00,34.60,1592669289
-MAFz4eDHWSMe4kNK3N2,65.00,34.60,1592669299
-MAFz7Dh5gxwvTssjGLT,65.00,34.60,1592669310
-MAFz9kdd6FCXTQ1Z374,65.00,34.60,1592669320
-MAFzCH63YdVGjTYbXCb,65.00,34.60,1592669330
-MAFzEnjrthaten9GT6W,65.00,34.60,1592669341
-MAFzHKLZExgkB9rdyBD,65.00,34.60,1592669351
-MAFzJqB0pfMsmvv65bA,65.00,34.60,1592669361
-MAFzMNXHAbI6qh6jgrY,65.00,34.60,1592669372
